,Prediction,Won_Series,Seed_Diff,Pyt_Win_Pct_Diff,eFG..Misc,TOV..Misc,ORB..Misc,FT.FGA.Misc,Opp.eFG..Misc,Opp.TOV..Misc,DRB..Misc,eFG..Misc_._Opponent,TOV..Misc_._Opponent,ORB..Misc_._Opponent,FT.FGA.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Opp.TOV..Misc_._Opponent,DRB..Misc_._Opponent,Opp.FT.FGA.Misc_._Opponent,id
0,True,1,1,0.182926829268293,0.49200000000000005,13.2,29.1,0.23800000000000002,0.452,14.7,73.6,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,/teams/SAS/2005.htmlSemifinals
1,True,1,1,0.182926829268293,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.20800000000000002,/teams/GSW/2015.htmlFinals
2,True,1,1,0.134146341463415,0.48700000000000004,13.0,31.1,0.268,0.479,16.0,66.1,0.49700000000000005,16.1,34.9,0.29,0.499,14.5,65.7,0.215,/teams/MIL/1987.htmlFirst
3,True,0,1,0.12195121951219501,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.511,13.2,25.9,0.20199999999999999,0.503,12.1,76.2,0.225,/teams/LAC/2016.htmlFirst
4,True,0,1,-0.0121951219512195,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174,/teams/BOS/2017.htmlFinals
5,False,0,1,-0.12195121951219501,0.47100000000000003,14.4,25.9,0.21899999999999997,0.46,15.7,73.9,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.20199999999999999,/teams/NJN/2004.htmlSemifinals
6,True,0,1,0.0243902439024389,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.491,15.2,29.3,0.217,0.45399999999999996,15.7,70.5,0.245,/teams/SAS/2000.htmlFirst
7,True,0,1,-0.0365853658536586,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,/teams/SAC/2003.htmlSemifinals
8,True,0,1,-0.0487804878048781,0.517,14.3,26.0,0.247,0.485,13.8,68.5,0.509,14.5,32.9,0.22399999999999998,0.488,16.7,68.2,0.263,/teams/CHH/1995.htmlFirst
9,True,0,1,0.0731707317073171,0.52,14.0,33.0,0.228,0.465,11.7,69.3,0.474,13.1,34.7,0.245,0.46399999999999997,12.8,71.0,0.248,/teams/BOS/1991.htmlSemifinals
10,True,0,1,0.00436615477265889,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.479,14.3,30.3,0.21899999999999997,0.45299999999999996,12.9,74.6,0.19699999999999998,/teams/NYK/2013.htmlSemifinals
11,True,0,1,0.0365853658536586,0.5,14.0,29.7,0.217,0.47100000000000003,15.3,70.0,0.493,15.6,30.6,0.24100000000000002,0.43700000000000006,12.2,72.2,0.218,/teams/PHO/1998.htmlFirst
12,True,0,1,0.0121951219512195,0.512,11.4,27.0,0.193,0.501,13.5,75.4,0.504,12.6,23.4,0.21,0.47700000000000004,12.8,77.1,0.201,/teams/NOH/2008.htmlSemifinals
13,True,0,1,0.0,0.49700000000000005,14.3,24.4,0.235,0.474,14.8,70.5,0.47600000000000003,12.8,24.1,0.223,0.46399999999999997,15.1,72.9,0.245,/teams/DET/2002.htmlSemifinals
14,True,1,1,0.048780487804878,0.496,13.6,35.5,0.23199999999999998,0.49700000000000005,14.8,67.2,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266,/teams/HOU/1986.htmlSemifinals
15,True,0,1,0.0121951219512195,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.5,16.0,34.4,0.27,0.47100000000000003,14.9,68.0,0.267,/teams/ORL/1994.htmlFirst
16,True,0,1,-0.0121951219512195,0.486,11.7,29.7,0.231,0.498,16.0,67.4,0.485,13.2,37.5,0.275,0.48100000000000004,13.0,67.5,0.203,/teams/DEN/1988.htmlSemifinals
17,False,0,1,0.0,0.501,13.5,29.4,0.22699999999999998,0.46299999999999997,13.6,76.2,0.524,13.5,25.2,0.27899999999999997,0.475,12.6,75.5,0.223,/teams/CHI/2011.htmlFinals
