,Prediction,Won_Series,BLK.Opp_Per_Poss,ORtg.Misc,eFG..Misc,BLK.Per_Poss_._Opponent,AST.Opp_Per_Poss_._Opponent,BLK.Opp_Per_Poss_._Opponent,DRtg.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Playoff.Minutes,Balance,Seed_Diff,Pyt_Win_Pct_Diff,id
0,False,1,5.6,109.6,0.507,5.5,23.3,4.3,105.2,0.495,14266,7,5,0.0853658536585366,/teams/IND/1995.htmlFirst
1,True,0,5.1,114.9,0.503,5.3,24.0,4.9,110.3,0.486,4545,8,5,0.17073170731707302,/teams/DAL/1987.htmlFirst
2,True,1,4.8,110.5,0.537,4.6,23.4,3.7,108.7,0.515,26484,11,7,0.158536585365854,/teams/SAS/2014.htmlFirst
3,False,0,4.9,114.5,0.524,6.6,25.1,4.7,107.4,0.489,20123,8,4,0.0487804878048781,/teams/PHO/1995.htmlSemifinals
4,True,1,5.7,107.5,0.49200000000000005,6.4,23.1,5.9,103.9,0.48200000000000004,16832,10,5,0.195121951219512,/teams/SAS/2005.htmlFirst
5,True,1,3.8,111.4,0.536,6.0,22.3,6.7,102.8,0.491,11022,12,5,0.195121951219512,/teams/ORL/2010.htmlFirst
6,True,0,5.4,111.1,0.501,8.7,22.0,6.3,102.3,0.45299999999999996,11088,9,7,0.23170731707317102,/teams/SEA/1994.htmlFirst
7,False,0,5.7,100.5,0.436,6.0,21.1,4.9,97.5,0.434,9608,5,4,0.08,/teams/ATL/1999.htmlSemifinals
8,False,0,4.2,107.0,0.504,3.6,23.9,4.9,106.6,0.49,2552,5,3,0.0609756097560976,/teams/TOR/2007.htmlFirst
9,False,0,5.3,111.2,0.507,4.6,24.6,3.6,108.0,0.501,2358,6,3,0.0853658536585366,/teams/POR/1984.htmlFirst
10,False,1,4.2,108.5,0.503,5.0,23.9,6.9,100.0,0.466,21397,9,4,0.109756097560976,/teams/IND/2000.htmlSemifinals
