,Prediction,Won_Series,Seed_Diff,Pyt_Win_Pct_Diff,eFG..Misc,TOV..Misc,ORB..Misc,FT.FGA.Misc,Opp.eFG..Misc,Opp.TOV..Misc,DRB..Misc,eFG..Misc_._Opponent,TOV..Misc_._Opponent,ORB..Misc_._Opponent,FT.FGA.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Opp.TOV..Misc_._Opponent,DRB..Misc_._Opponent,Opp.FT.FGA.Misc_._Opponent,id
0,True,1,5,0.109756097560976,0.517,13.9,26.7,0.254,0.47700000000000004,12.4,76.4,0.48700000000000004,13.9,26.3,0.21600000000000003,0.46399999999999997,13.9,74.7,0.295,/teams/MIA/2006.htmlFirst
1,True,1,3,0.0853658536585366,0.474,13.1,34.7,0.245,0.46399999999999997,12.8,71.0,0.48200000000000004,12.9,33.1,0.282,0.509,13.7,69.1,0.22,/teams/DET/1991.htmlFirst
2,True,1,3,0.0975609756097561,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.48200000000000004,12.3,26.2,0.18100000000000002,0.486,14.6,76.4,0.266,/teams/ATL/2010.htmlFirst
3,False,0,1,0.0853658536585366,0.515,13.3,30.1,0.228,0.491,14.9,66.8,0.512,14.1,26.9,0.243,0.495,13.6,68.6,0.20600000000000002,/teams/LAL/1996.htmlFirst
4,False,0,1,0.0853658536585366,0.499,14.3,31.8,0.258,0.5,16.4,66.1,0.489,13.4,28.1,0.27,0.489,12.5,68.3,0.187,/teams/MIL/1991.htmlFirst
5,True,1,3,0.048780487804878,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.47200000000000003,13.3,31.0,0.20199999999999999,0.475,15.2,74.3,0.209,/teams/SAS/2013.htmlFinals
6,True,0,6,0.1,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.46299999999999997,15.9,27.9,0.24100000000000002,0.434,14.9,71.0,0.258,/teams/IND/1999.htmlFinals
7,False,0,1,0.073170731707317,0.506,13.4,31.5,0.251,0.47700000000000004,10.8,72.1,0.501,14.8,34.2,0.25,0.48200000000000004,13.3,66.0,0.215,/teams/BOS/1990.htmlFirst
8,False,0,1,0.0121951219512195,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.5,16.0,34.4,0.27,0.47100000000000003,14.9,68.0,0.267,/teams/ORL/1994.htmlFirst
9,True,1,4,0.109756097560976,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.506,13.6,25.2,0.18100000000000002,0.504,15.0,75.7,0.22,/teams/IND/2014.htmlSemifinals
10,False,0,1,0.0609756097560975,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.48100000000000004,12.8,28.1,0.244,0.47100000000000003,14.3,73.3,0.222,/teams/MIN/2004.htmlFinals
11,False,1,1,0.0365853658536585,0.493,15.3,34.9,0.282,0.48100000000000004,15.4,66.7,0.488,13.3,33.5,0.23199999999999998,0.496,14.9,67.6,0.266,/teams/ATL/1986.htmlFirst
12,True,1,2,0.048780487804878,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.504,12.6,23.4,0.21,0.47700000000000004,12.8,77.1,0.201,/teams/LAL/2008.htmlFinals
13,False,1,1,0.048780487804878,0.524,12.7,25.1,0.19399999999999998,0.496,12.6,78.5,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,/teams/CLE/2016.htmlFinals
14,True,0,4,0.12195121951219501,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.47200000000000003,13.3,31.0,0.20199999999999999,0.475,15.2,74.3,0.209,/teams/OKC/2013.htmlSemifinals
15,True,1,3,0.134146341463415,0.517,14.1,31.6,0.276,0.489,15.1,71.7,0.494,15.2,33.4,0.23,0.478,13.5,73.4,0.23600000000000002,/teams/UTA/1996.htmlFirst
16,True,0,3,0.0609756097560975,0.51,15.3,34.1,0.313,0.493,14.8,66.6,0.483,14.3,33.5,0.24,0.47,14.1,68.0,0.261,/teams/POR/1987.htmlFirst
17,True,0,3,0.0853658536585366,0.507,15.1,36.4,0.27699999999999997,0.518,17.0,67.4,0.514,15.1,31.4,0.23199999999999998,0.501,15.3,68.3,0.27699999999999997,/teams/POR/1984.htmlFirst
18,True,1,3,0.17073170731707302,0.473,14.1,29.5,0.21899999999999997,0.433,14.8,74.6,0.479,13.9,29.5,0.23399999999999999,0.465,15.7,68.4,0.251,/teams/SAS/2004.htmlFirst
19,False,0,1,-0.207317073170732,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.493,14.7,28.6,0.22899999999999998,0.473,16.2,74.3,0.252,/teams/MIA/2007.htmlFirst
20,True,1,3,0.073170731707317,0.532,14.0,29.0,0.247,0.47100000000000003,12.0,67.6,0.48700000000000004,13.0,31.1,0.268,0.479,16.0,66.1,0.307,/teams/BOS/1987.htmlSemifinals
21,True,0,7,0.16,0.494,15.3,27.3,0.26,0.439,13.6,71.0,0.46299999999999997,15.9,27.9,0.24100000000000002,0.434,14.9,71.0,0.258,/teams/MIA/1999.htmlFirst
22,True,1,7,0.26829268292682895,0.49700000000000005,11.2,28.9,0.21600000000000003,0.47700000000000004,13.7,71.2,0.49200000000000005,13.8,27.3,0.23800000000000002,0.504,13.8,74.6,0.262,/teams/DET/2006.htmlFirst
23,True,1,3,0.024390243902439,0.534,12.4,27.5,0.222,0.478,12.0,68.3,0.49200000000000005,12.5,28.6,0.273,0.47200000000000003,14.3,70.2,0.239,/teams/PHO/2005.htmlSemifinals
24,True,1,7,0.365853658536585,0.53,14.7,29.7,0.299,0.48,15.5,71.6,0.48200000000000004,14.7,30.8,0.22699999999999998,0.499,15.5,68.1,0.26899999999999996,/teams/UTA/1997.htmlFirst
25,False,0,1,0.0731707317073171,0.52,14.0,33.0,0.228,0.465,11.7,69.3,0.474,13.1,34.7,0.245,0.46399999999999997,12.8,71.0,0.248,/teams/BOS/1991.htmlSemifinals
26,True,0,3,0.134146341463415,0.469,13.7,29.0,0.263,0.45799999999999996,14.3,72.3,0.47,13.4,23.6,0.22699999999999998,0.47100000000000003,15.1,72.5,0.242,/teams/IND/2003.htmlFirst
27,True,1,5,0.158536585365854,0.47100000000000003,14.4,25.9,0.21899999999999997,0.46,15.7,73.9,0.474,15.1,28.0,0.21100000000000002,0.461,13.2,72.8,0.259,/teams/NJN/2004.htmlFirst
28,True,1,5,0.0609756097560975,0.495,14.5,28.2,0.20800000000000002,0.45299999999999996,13.3,72.9,0.49200000000000005,14.3,26.8,0.295,0.499,15.4,71.6,0.249,/teams/MIA/2000.htmlFirst
29,True,1,3,0.146341463414634,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,/teams/TOR/2017.htmlFirst
30,False,0,1,-0.0121951219512195,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174,/teams/BOS/2017.htmlFinals
31,True,1,5,0.24390243902439002,0.49,13.3,37.2,0.28300000000000003,0.46,13.9,67.4,0.478,13.4,30.5,0.23199999999999998,0.48700000000000004,14.9,68.8,0.281,/teams/ATL/1987.htmlFirst
32,False,1,1,0.0609756097560975,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.495,11.4,29.4,0.23,0.47,13.4,73.7,0.244,/teams/BOS/2008.htmlFinals
33,True,1,3,0.18,0.479,14.6,30.4,0.259,0.423,13.8,69.5,0.498,14.1,30.6,0.261,0.46799999999999997,13.3,70.2,0.267,/teams/SAS/1999.htmlSemifinals
34,True,1,4,0.0731707317073171,0.46799999999999997,14.7,31.2,0.262,0.46,14.5,72.5,0.46799999999999997,12.1,30.8,0.213,0.47600000000000003,13.3,73.2,0.212,/teams/PHI/2001.htmlSemifinals
35,False,0,1,-0.024390243902439,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.506,14.8,34.0,0.271,0.49700000000000005,15.9,64.4,0.23199999999999998,/teams/DAL/1985.htmlFirst
36,True,1,2,0.12195121951219501,0.53,14.7,29.7,0.299,0.48,15.5,71.6,0.52,15.6,28.4,0.23199999999999998,0.48100000000000004,13.3,71.4,0.19,/teams/UTA/1997.htmlFinals
37,True,1,2,0.0609756097560976,0.47600000000000003,13.4,29.2,0.20600000000000002,0.45899999999999996,14.9,71.6,0.47600000000000003,12.8,24.1,0.223,0.46399999999999997,15.1,72.9,0.245,/teams/NJN/2002.htmlFinals
38,True,1,4,0.12195121951219501,0.502,14.0,27.9,0.262,0.45299999999999996,14.4,67.8,0.47600000000000003,14.7,29.5,0.218,0.455,14.7,74.0,0.282,/teams/IND/1998.htmlSemifinals
39,True,1,2,0.0731707317073171,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,/teams/GSW/2016.htmlFinals
40,True,1,4,0.0487804878048781,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.457,13.7,29.8,0.24600000000000002,0.456,14.1,74.5,0.222,/teams/MIL/2001.htmlSemifinals
41,False,0,1,0.134146341463415,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.496,13.6,35.5,0.23199999999999998,0.49700000000000005,14.8,67.2,0.243,/teams/LAL/1986.htmlFinals
42,True,1,3,0.146341463414634,0.502,13.5,35.5,0.24100000000000002,0.489,16.4,67.7,0.498,13.8,31.0,0.27899999999999997,0.48700000000000004,13.9,68.7,0.25,/teams/SEA/1993.htmlFirst
