,Prediction,Won_Series,Seed_Diff,Pyt_Win_Pct_Diff,eFG..Misc,TOV..Misc,ORB..Misc,FT.FGA.Misc,Opp.eFG..Misc,Opp.TOV..Misc,DRB..Misc,eFG..Misc_._Opponent,TOV..Misc_._Opponent,ORB..Misc_._Opponent,FT.FGA.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Opp.TOV..Misc_._Opponent,DRB..Misc_._Opponent,Opp.FT.FGA.Misc_._Opponent,id
0,True,1,5,0.0853658536585366,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.48700000000000004,13.9,31.6,0.21100000000000002,0.495,15.6,68.4,0.215,/teams/IND/1995.htmlFirst
1,True,0,5,0.17073170731707302,0.503,12.3,33.8,0.29100000000000004,0.486,13.5,66.5,0.495,15.0,37.6,0.261,0.486,13.5,66.0,0.29600000000000004,/teams/DAL/1987.htmlFirst
2,True,1,7,0.158536585365854,0.537,13.5,22.7,0.188,0.48200000000000004,12.8,76.4,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.22899999999999998,/teams/SAS/2014.htmlFirst
3,True,0,4,0.0487804878048781,0.524,12.7,29.7,0.255,0.515,14.0,69.8,0.529,15.0,26.9,0.23199999999999998,0.489,13.9,67.7,0.19899999999999998,/teams/PHO/1995.htmlSemifinals
4,True,1,5,0.195121951219512,0.49200000000000005,13.2,29.1,0.23800000000000002,0.452,14.7,73.6,0.483,13.8,28.4,0.267,0.48200000000000004,15.1,71.7,0.247,/teams/SAS/2005.htmlFirst
5,True,1,5,0.195121951219512,0.536,13.6,24.6,0.24600000000000002,0.47700000000000004,12.2,77.4,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.19399999999999998,/teams/ORL/2010.htmlFirst
6,True,0,7,0.23170731707317102,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.478,15.3,32.2,0.256,0.45299999999999996,13.4,69.6,0.252,/teams/SEA/1994.htmlFirst
7,True,0,4,0.08,0.436,14.5,33.1,0.27699999999999997,0.43700000000000006,13.4,72.1,0.46299999999999997,15.9,27.9,0.24100000000000002,0.434,14.9,71.0,0.258,/teams/ATL/1999.htmlSemifinals
8,True,0,3,0.0609756097560976,0.504,13.0,22.2,0.239,0.503,14.3,74.5,0.504,14.2,24.6,0.245,0.49,13.7,74.4,0.266,/teams/TOR/2007.htmlFirst
9,True,0,3,0.0853658536585366,0.507,15.1,36.4,0.27699999999999997,0.518,17.0,67.4,0.514,15.1,31.4,0.23199999999999998,0.501,15.3,68.3,0.27699999999999997,/teams/POR/1984.htmlFirst
10,True,1,4,0.109756097560976,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.457,14.2,31.4,0.233,0.466,16.2,69.9,0.22899999999999998,/teams/IND/2000.htmlSemifinals
11,True,1,5,0.0853658536585366,0.536,16.1,33.7,0.23600000000000002,0.48700000000000004,14.3,66.6,0.514,15.1,31.4,0.23199999999999998,0.501,15.3,68.3,0.27699999999999997,/teams/LAL/1984.htmlFinals
12,True,1,3,0.0975609756097561,0.489,12.9,27.0,0.23800000000000002,0.473,11.3,74.4,0.499,15.5,25.4,0.195,0.48700000000000004,15.9,73.3,0.221,/teams/CHI/2015.htmlFirst
13,True,1,3,0.158536585365854,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.19399999999999998,/teams/DAL/2003.htmlFirst
14,True,1,7,0.21951219512195103,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.48200000000000004,13.0,28.6,0.19899999999999998,0.478,14.2,71.9,0.23800000000000002,/teams/SAS/2001.htmlFirst
15,True,1,3,0.109756097560976,0.483,15.1,34.4,0.23199999999999998,0.451,16.0,71.4,0.5,16.0,34.4,0.27,0.47100000000000003,14.9,68.0,0.267,/teams/NYK/1994.htmlFinals
16,True,1,5,0.23170731707317102,0.51,14.2,30.9,0.26899999999999996,0.49,17.7,69.1,0.508,13.4,27.1,0.24100000000000002,0.507,14.4,69.4,0.215,/teams/SEA/1997.htmlFirst
17,True,1,7,0.17073170731707302,0.524,12.7,25.1,0.19399999999999998,0.496,12.6,78.5,0.491,12.2,27.0,0.19699999999999998,0.504,12.5,79.3,0.196,/teams/CLE/2016.htmlFirst
18,True,1,3,0.146341463414634,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,/teams/HOU/2017.htmlFirst
19,True,1,3,0.182926829268293,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.51,13.3,30.0,0.28300000000000003,0.508,13.0,66.8,0.201,/teams/LAL/1986.htmlSemifinals
20,True,1,4,0.0731707317073171,0.502,14.4,34.5,0.266,0.45799999999999996,13.2,69.2,0.48700000000000004,13.7,32.7,0.273,0.493,16.1,67.5,0.266,/teams/DET/1989.htmlSemifinals
21,True,1,3,0.146341463414634,0.49700000000000005,11.2,28.9,0.21600000000000003,0.47700000000000004,13.7,71.2,0.49200000000000005,13.3,28.4,0.263,0.49,12.8,75.7,0.226,/teams/DET/2006.htmlSemifinals
22,True,1,7,0.195121951219512,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.518,14.6,29.0,0.28,0.494,12.6,67.1,0.25,/teams/DET/1990.htmlFirst
23,True,1,7,0.134146341463415,0.47600000000000003,13.4,29.2,0.20600000000000002,0.45899999999999996,14.9,71.6,0.47700000000000004,14.2,27.0,0.253,0.469,13.2,71.0,0.22699999999999998,/teams/NJN/2002.htmlFirst
24,True,1,3,0.23170731707317102,0.506,11.8,30.5,0.259,0.483,12.3,66.5,0.473,14.1,39.1,0.19399999999999998,0.488,14.1,66.3,0.247,/teams/CLE/1992.htmlFirst
25,True,1,4,0.182926829268293,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.489,12.6,24.7,0.214,0.49200000000000005,14.5,75.3,0.183,/teams/GSW/2015.htmlSemifinals
26,True,1,2,0.0731707317073171,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,/teams/GSW/2016.htmlFinals
