,Prediction,Won_Series,BLK.Opp_Per_Poss,ORtg.Misc,eFG..Misc,BLK.Per_Poss_._Opponent,AST.Opp_Per_Poss_._Opponent,BLK.Opp_Per_Poss_._Opponent,DRtg.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Playoff.Minutes,Balance,Seed_Diff,Pyt_Win_Pct_Diff,id
0,True,1,4.0,108.7,0.517,4.5,21.4,5.4,103.4,0.46399999999999997,20103,6,5,0.109756097560976,/teams/MIA/2006.htmlFirst
1,True,1,3.8,108.2,0.474,4.6,28.6,4.4,110.1,0.509,23379,5,3,0.0853658536585366,/teams/DET/1991.htmlFirst
2,True,1,4.8,111.9,0.506,5.0,20.7,5.5,103.1,0.486,9404,8,3,0.0975609756097561,/teams/ATL/2010.htmlFirst
3,False,0,6.4,111.4,0.515,6.2,25.3,5.2,107.4,0.495,14184,8,1,0.0853658536585366,/teams/LAL/1996.htmlFirst
4,False,0,5.8,109.7,0.499,6.0,27.7,4.9,108.1,0.489,12252,7,1,0.0853658536585366,/teams/MIL/1991.htmlFirst
5,True,1,5.2,108.3,0.531,6.0,21.9,6.2,100.3,0.475,23390,10,3,0.048780487804878,/teams/SAS/2013.htmlFinals
6,True,0,5.5,108.7,0.486,6.0,21.1,4.9,97.5,0.434,19983,7,6,0.1,/teams/IND/1999.htmlFinals
7,False,0,4.4,112.0,0.506,6.1,26.2,5.2,108.0,0.48200000000000004,24494,5,1,0.073170731707317,/teams/BOS/1990.htmlFirst
8,False,0,5.6,110.8,0.514,6.0,24.8,5.1,104.2,0.47100000000000003,2653,5,1,0.0121951219512195,/teams/ORL/1994.htmlFirst
9,True,1,5.0,104.1,0.49,4.8,23.4,4.1,104.6,0.504,11893,7,4,0.109756097560976,/teams/IND/2014.htmlSemifinals
10,False,0,4.0,105.9,0.486,5.0,22.4,4.0,101.3,0.47100000000000003,8982,7,1,0.0609756097560975,/teams/MIN/2004.htmlFinals
11,False,1,4.5,107.9,0.493,4.0,24.3,5.8,107.9,0.496,3995,7,1,0.0365853658536585,/teams/ATL/1986.htmlFirst
12,True,1,4.7,113.0,0.525,4.6,20.4,4.9,101.8,0.47700000000000004,12385,10,2,0.048780487804878,/teams/LAL/2008.htmlFinals
13,False,1,4.7,110.9,0.524,5.9,23.3,5.8,105.2,0.498,22193,7,1,0.048780487804878,/teams/CLE/2016.htmlFinals
14,True,0,4.2,112.4,0.527,6.0,21.9,6.2,100.3,0.475,17114,7,4,0.12195121951219501,/teams/OKC/2013.htmlSemifinals
15,True,1,5.5,113.3,0.517,5.4,23.7,5.3,103.5,0.478,11758,5,3,0.134146341463415,/teams/UTA/1996.htmlFirst
16,True,0,5.5,111.5,0.51,6.7,25.8,4.5,105.5,0.47,7270,4,3,0.0609756097560975,/teams/POR/1987.htmlFirst
17,True,0,5.3,111.2,0.507,4.6,24.6,3.6,108.0,0.501,2358,6,3,0.0853658536585366,/teams/POR/1984.htmlFirst
18,True,1,5.2,102.2,0.473,7.5,22.1,6.1,102.2,0.465,18516,8,3,0.17073170731707302,/teams/SAS/2004.htmlFirst
19,False,0,4.2,104.3,0.506,5.8,21.7,5.6,99.6,0.473,26590,7,1,-0.207317073170732,/teams/MIA/2007.htmlFirst
20,True,1,4.2,113.5,0.532,4.8,24.4,5.6,105.6,0.479,22134,4,3,0.073170731707317,/teams/BOS/1987.htmlSemifinals
21,True,0,4.4,104.7,0.494,6.0,21.1,4.9,97.5,0.434,13557,7,7,0.16,/teams/MIA/1999.htmlFirst
22,True,1,4.0,110.8,0.49700000000000005,3.6,24.5,5.5,107.4,0.504,21137,8,7,0.26829268292682895,/teams/DET/2006.htmlFirst
23,True,1,4.3,114.5,0.534,6.0,22.5,5.2,104.1,0.47200000000000003,4804,5,3,0.024390243902439,/teams/PHO/2005.htmlSemifinals
24,True,1,5.0,113.6,0.53,5.8,21.8,5.5,107.6,0.499,14266,6,7,0.365853658536585,/teams/UTA/1997.htmlFirst
25,False,0,4.7,112.6,0.52,4.8,22.9,3.8,104.6,0.46399999999999997,17518,7,1,0.0731707317073171,/teams/BOS/1991.htmlSemifinals
26,True,0,6.8,104.6,0.469,4.0,24.3,4.9,101.6,0.47100000000000003,8358,6,3,0.134146341463415,/teams/IND/2003.htmlFirst
27,True,1,5.1,100.8,0.47100000000000003,5.3,22.6,5.2,103.3,0.461,13821,8,5,0.158536585365854,/teams/NJN/2004.htmlFirst
28,True,1,4.9,104.5,0.495,3.5,24.0,5.0,105.8,0.499,11932,6,5,0.0609756097560975,/teams/MIA/2000.htmlFirst
29,True,1,5.0,112.3,0.517,5.6,25.3,4.8,109.3,0.518,10148,6,3,0.146341463414634,/teams/TOR/2017.htmlFirst
30,False,0,5.3,111.2,0.525,4.1,25.4,4.4,110.3,0.516,5461,5,1,-0.0121951219512195,/teams/BOS/2017.htmlFinals
31,True,1,4.8,112.6,0.49,3.8,24.6,5.8,106.6,0.48700000000000004,7435,8,5,0.24390243902439002,/teams/ATL/1987.htmlFirst
32,False,1,5.2,110.2,0.522,6.6,21.8,4.4,102.9,0.47,13050,9,1,0.0609756097560975,/teams/BOS/2008.htmlFinals
33,True,1,5.4,104.0,0.479,6.2,23.1,4.3,104.3,0.46799999999999997,15239,9,3,0.18,/teams/SAS/1999.htmlSemifinals
34,True,1,6.1,103.6,0.46799999999999997,6.9,22.4,5.8,103.4,0.47600000000000003,10391,9,4,0.0731707317073171,/teams/PHI/2001.htmlSemifinals
35,False,0,5.3,111.5,0.499,6.0,26.1,5.4,107.2,0.49700000000000005,2046,6,1,-0.024390243902439,/teams/DAL/1985.htmlFirst
36,True,1,5.0,113.6,0.53,4.6,24.2,4.8,104.0,0.48100000000000004,14266,6,2,0.12195121951219501,/teams/UTA/1997.htmlFinals
37,True,1,5.8,104.0,0.47600000000000003,3.8,23.6,6.2,101.0,0.46399999999999997,1466,8,2,0.0609756097560976,/teams/NJN/2002.htmlFinals
38,True,1,5.0,108.4,0.502,3.8,21.7,4.3,100.3,0.455,13602,8,4,0.12195121951219501,/teams/IND/1998.htmlSemifinals
39,True,1,4.1,114.5,0.563,6.1,22.1,4.7,105.6,0.484,14360,8,2,0.0731707317073171,/teams/GSW/2016.htmlFinals
40,True,1,4.6,108.8,0.499,6.1,23.6,5.1,99.5,0.456,8142,8,4,0.0487804878048781,/teams/MIL/2001.htmlSemifinals
41,False,0,4.2,113.3,0.532,6.5,25.8,4.5,107.6,0.49700000000000005,21381,8,1,0.134146341463415,/teams/LAL/1986.htmlFinals
42,True,1,5.1,112.3,0.502,4.3,24.3,5.9,107.4,0.48700000000000004,8884,10,3,0.146341463414634,/teams/SEA/1993.htmlFirst
43,True,1,3.4,110.9,0.5539999999999999,5.5,22.4,5.4,103.8,0.491,34822,6,5,0.17073170731707302,/teams/MIA/2014.htmlFirst
44,True,1,3.8,113.9,0.551,5.4,23.0,5.2,108.6,0.5,13075,5,5,0.21951219512195103,/teams/PHO/2007.htmlFirst
45,False,1,3.8,111.4,0.536,5.5,23.1,4.8,106.7,0.496,11022,12,1,0.0853658536585366,/teams/ORL/2010.htmlSemifinals
46,True,1,4.5,115.5,0.518,4.6,25.7,5.5,110.9,0.508,17074,8,7,0.43902439024390205,/teams/CHI/1992.htmlFirst
47,True,1,5.5,107.0,0.512,4.7,23.2,4.0,106.4,0.503,12385,9,5,0.0121951219512195,/teams/HOU/2015.htmlFirst
48,False,1,4.4,113.6,0.547,5.1,22.9,5.0,107.8,0.507,31245,6,1,-0.0365853658536586,/teams/CLE/2017.htmlSemifinals
49,True,1,4.6,111.2,0.501,5.8,22.6,6.6,105.1,0.502,5854,7,4,0.0365853658536586,/teams/OKC/2011.htmlSemifinals
50,True,1,5.3,110.9,0.528,6.3,22.0,6.1,106.1,0.493,23654,11,7,0.212121212121212,/teams/SAS/2012.htmlFirst
51,True,1,4.7,110.5,0.49700000000000005,5.7,24.9,5.5,109.6,0.495,6351,9,5,0.23170731707317102,/teams/MIL/1985.htmlFirst
52,False,1,5.5,111.8,0.495,6.2,22.5,6.4,101.6,0.469,9536,9,1,0.073170731707317,/teams/DAL/2006.htmlFirst
53,True,1,5.7,102.0,0.461,5.1,24.8,5.4,105.4,0.485,10619,10,3,0.182926829268293,/teams/DET/2004.htmlFirst
54,True,0,5.2,111.7,0.516,6.6,25.1,4.7,107.4,0.489,15379,6,5,0.12195121951219501,/teams/SAS/1995.htmlFinals
55,True,1,5.8,112.2,0.504,6.2,22.4,5.4,104.7,0.475,9075,5,5,0.158536585365854,/teams/UTA/1992.htmlFirst
56,False,1,4.0,105.9,0.507,5.8,27.1,5.5,106.8,0.493,6316,6,1,-0.0121951219512195,/teams/HOU/1994.htmlSemifinals
57,True,1,7.1,103.8,0.47100000000000003,4.3,24.6,5.3,103.7,0.479,8930,9,7,0.25609756097561,/teams/IND/2004.htmlFirst
58,True,1,5.5,111.9,0.519,6.2,23.7,6.0,102.4,0.46,7734,8,3,0.195121951219512,/teams/LAL/1998.htmlFirst
59,True,0,3.5,111.5,0.537,6.7,19.7,5.5,105.0,0.475,10086,7,2,-0.0365853658536585,/teams/PHO/2006.htmlFinals
60,True,1,4.2,113.3,0.532,4.6,26.5,5.3,108.2,0.499,21381,8,7,0.28048780487804903,/teams/LAL/1986.htmlFirst
61,False,0,6.0,104.0,0.473,5.3,23.1,5.0,105.7,0.49200000000000005,4566,6,1,-0.0151515151515151,/teams/MEM/2012.htmlFirst
62,True,1,5.8,107.5,0.489,5.2,23.4,5.0,102.2,0.48700000000000004,12546,6,3,0.0975609756097561,/teams/CHI/2015.htmlFirst
63,True,1,6.2,104.3,0.479,4.8,23.8,4.6,104.4,0.496,4748,8,3,0.129780186690756,/teams/IND/2013.htmlFirst
64,True,1,4.8,111.1,0.52,3.7,22.6,5.4,104.5,0.494,21867,7,5,0.146341463414634,/teams/CLE/2015.htmlFirst
65,False,1,6.1,102.2,0.46299999999999997,4.7,24.3,5.8,102.4,0.47600000000000003,5314,7,1,0.024390243902439,/teams/MIA/2004.htmlFirst
66,False,1,5.1,107.7,0.522,6.2,20.8,4.8,104.1,0.48,23449,7,1,0.0487804878048781,/teams/BOS/2010.htmlFirst
67,False,0,6.1,111.5,0.48200000000000004,4.4,25.0,4.8,103.1,0.491,2475,7,1,-0.0121951219512195,/teams/DET/1984.htmlFirst
68,True,0,4.6,108.8,0.498,4.1,22.7,4.4,107.7,0.509,3291,6,3,0.146341463414634,/teams/TOR/2014.htmlFirst
69,True,1,5.4,112.2,0.495,4.1,22.9,4.7,108.2,0.493,2483,5,3,0.0121951219512195,/teams/SEA/2005.htmlFirst
70,True,1,6.2,103.4,0.47600000000000003,5.0,24.2,6.3,100.3,0.46,1725,7,3,0.0243902439024389,/teams/BOS/2002.htmlFirst
71,True,1,5.2,109.8,0.516,5.5,22.1,4.3,102.3,0.479,14146,5,5,0.166666666666667,/teams/OKC/2012.htmlFirst
72,True,1,6.4,108.3,0.501,5.8,21.4,6.0,106.0,0.48700000000000004,7870,10,7,0.28048780487804903,/teams/CHI/2011.htmlFirst
73,False,0,4.2,107.4,0.5,7.8,21.3,5.2,99.4,0.43700000000000006,12295,10,1,0.0365853658536586,/teams/PHO/1998.htmlFirst
74,True,1,4.9,104.1,0.473,3.8,23.9,6.9,102.5,0.488,7485,7,3,0.0487804878048781,/teams/DET/2003.htmlSemifinals
75,True,0,5.4,109.0,0.505,4.6,24.6,3.6,108.0,0.501,1557,3,4,0.0121951219512195,/teams/UTA/1984.htmlSemifinals
76,True,0,5.4,111.1,0.501,8.7,22.0,6.3,102.3,0.45299999999999996,11088,9,7,0.23170731707317102,/teams/SEA/1994.htmlFirst
77,True,1,4.3,112.9,0.529,4.3,25.0,4.6,108.0,0.512,11390,6,4,0.134146341463415,/teams/ORL/1996.htmlSemifinals
78,True,1,5.1,105.6,0.47200000000000003,4.9,21.3,5.5,104.6,0.47200000000000003,14478,6,4,0.12195121951219501,/teams/DET/2005.htmlSemifinals
79,False,1,5.7,107.5,0.49200000000000005,4.7,23.5,5.4,109.6,0.496,16832,10,1,0.182926829268293,/teams/SAS/2005.htmlSemifinals
80,True,1,4.8,115.6,0.528,5.3,24.0,4.9,110.3,0.486,20838,8,6,0.24390243902439002,/teams/LAL/1987.htmlFinals
81,True,1,4.4,106.1,0.508,5.5,24.0,5.7,104.3,0.496,25050,8,3,-0.0365853658536585,/teams/MIA/2016.htmlFirst
82,True,1,4.5,110.1,0.496,4.6,25.2,5.7,109.2,0.499,3310,5,5,0.182926829268293,/teams/HOU/1986.htmlFirst
83,True,1,4.4,105.7,0.483,7.3,24.3,7.4,104.9,0.475,13350,12,5,0.158536585365854,/teams/NYK/1994.htmlFirst
84,True,1,4.1,110.3,0.526,4.5,23.3,6.1,107.8,0.518,36890,11,5,0.390243902439024,/teams/SAS/2016.htmlFirst
85,True,1,3.5,112.3,0.552,5.6,20.9,6.5,103.2,0.47700000000000004,30463,9,4,0.24390243902439002,/teams/MIA/2013.htmlSemifinals
86,True,1,4.3,112.1,0.5,5.0,24.1,4.4,103.9,0.469,21690,6,3,0.109756097560976,/teams/LAL/1991.htmlFirst
87,True,1,3.8,115.6,0.563,5.4,19.4,4.1,105.3,0.493,23344,8,4,0.182926829268293,/teams/GSW/2017.htmlSemifinals
88,False,1,5.3,111.4,0.495,5.7,24.3,5.8,105.6,0.475,16397,8,1,0.024390243902439,/teams/POR/1992.htmlFinals
89,True,1,4.8,113.5,0.502,6.5,27.2,4.8,107.2,0.49,5920,6,5,0.17073170731707302,/teams/PHI/1990.htmlFirst
