model_type,model_type,n_predict,correct,pr,roc,seed_diff
pyt_win,SVC,136,127,0.933823529,0.6512,not_one
seed_diff,SVC,163,150,0.920245399,0.6447,not_one
four_fact,SVC,213,189,0.887323944,0.5734,not_one
four_fact,RFC,250,219,0.876,0.5395,not_one
four_fact,KNN,260,227,0.873076923,0.5286,not_one
seed_diff,KNN,262,227,0.866412214,0.5000,not_one
pyt_win,KNN,262,227,0.866412214,0.5000,not_one
seed_diff,RFC,261,226,0.865900383,0.4978,not_one
pyt_win,RFC,261,226,0.865900383,0.4978,not_one
home_team,NA,328,284,0.865853659,NA,not_one
pyt_win,SVC,197,169,0.85786802,0.6568,all
seed_diff,SVC,265,227,0.856603774,0.7086,all
seed_diff,KNN,255,218,0.854901961,0.6978,all
pyt_win,KNN,308,245,0.795454545,0.6129,all
four_fact,SVC,210,167,0.795238095,0.5767,all
seed_diff,RFC,316,251,0.794303797,0.6134,all
pyt_win,RFC,318,249,0.783018868,0.5894,all
home_team,NA,476,356,0.74789916,NA,all
four_fact,RFC,338,252,0.74556213,0.5080,all
four_fact,KNN,367,271,0.738419619,0.4907,all
four_fact,RFC,78,47,0.602564103,0.5691,is_one
pyt_win,RFC,58,32,0.551724138,0.4500,is_one
seed_diff,RFC,118,65,0.550847458,0.5000,is_one
seed_diff,KNN,118,65,0.550847458,0.5000,is_one
four_fact,SVC,53,29,0.547169811,0.5889,is_one
pyt_win,KNN,89,48,0.539325843,0.4820,is_one
four_fact,KNN,80,42,0.525,0.4645,is_one
home_team,NA,148,72,0.486486486,NA,is_one
pyt_win,SVC,56,27,0.482142857,0.5316,is_one
seed_diff,SVC,46,20,0.434782609,0.4887,is_one
