"Year","Type","Season","Series_Length","Conference","Series_Type","Team","Opponent","Seed","Opp_Seed","Series_Wins","Series_Losses","Won_Series","Team_Link","Opp_Link"
"2017","Eastern Conf First Round","2016-2017",7,"Eastern","First","Boston Celtics","Chicago Bulls",1,8,4,2,TRUE,"/teams/BOS/2017.html","/teams/CHI/2017.html"
"2017","Eastern Conf First Round","2016-2017",7,"Eastern","First","Cleveland Cavaliers","Indiana Pacers",2,7,4,0,TRUE,"/teams/CLE/2017.html","/teams/IND/2017.html"
"2017","Eastern Conf First Round","2016-2017",7,"Eastern","First","Toronto Raptors","Milwaukee Bucks",3,6,4,2,TRUE,"/teams/TOR/2017.html","/teams/MIL/2017.html"
"2017","Eastern Conf First Round","2016-2017",7,"Eastern","First","Washington Wizards","Atlanta Hawks",4,5,4,2,TRUE,"/teams/WAS/2017.html","/teams/ATL/2017.html"
"2017","Western Conf First Round","2016-2017",7,"Western","First","Golden State Warriors","Portland Trail Blazers",1,8,4,0,TRUE,"/teams/GSW/2017.html","/teams/POR/2017.html"
"2017","Western Conf First Round","2016-2017",7,"Western","First","San Antonio Spurs","Memphis Grizzlies",2,7,4,2,TRUE,"/teams/SAS/2017.html","/teams/MEM/2017.html"
"2017","Western Conf First Round","2016-2017",7,"Western","First","Houston Rockets","Oklahoma City Thunder",3,6,4,1,TRUE,"/teams/HOU/2017.html","/teams/OKC/2017.html"
"2017","Western Conf First Round","2016-2017",7,"Western","First","Los Angeles Clippers","Utah Jazz",4,5,3,4,FALSE,"/teams/LAC/2017.html","/teams/UTA/2017.html"
"2017","Eastern Conf Semifinals","2016-2017",7,"Eastern","Semifinals","Cleveland Cavaliers","Toronto Raptors",2,3,4,0,TRUE,"/teams/CLE/2017.html","/teams/TOR/2017.html"
"2017","Eastern Conf Semifinals","2016-2017",7,"Eastern","Semifinals","Boston Celtics","Washington Wizards",1,4,4,3,TRUE,"/teams/BOS/2017.html","/teams/WAS/2017.html"
"2017","Western Conf Semifinals","2016-2017",7,"Western","Semifinals","Golden State Warriors","Utah Jazz",1,5,4,0,TRUE,"/teams/GSW/2017.html","/teams/UTA/2017.html"
"2017","Western Conf Semifinals","2016-2017",7,"Western","Semifinals","San Antonio Spurs","Houston Rockets",2,3,4,2,TRUE,"/teams/SAS/2017.html","/teams/HOU/2017.html"
"2017","Western Conf Finals","2016-2017",7,"Western","Finals","Golden State Warriors","San Antonio Spurs",1,2,4,0,TRUE,"/teams/GSW/2017.html","/teams/SAS/2017.html"
"2017","Eastern Conf Finals","2016-2017",7,"Eastern","Finals","Boston Celtics","Cleveland Cavaliers",1,2,1,4,FALSE,"/teams/BOS/2017.html","/teams/CLE/2017.html"
"2016","Eastern Conf First Round","2015-2016",7,"Eastern","First","Cleveland Cavaliers","Detroit Pistons",1,8,4,0,TRUE,"/teams/CLE/2016.html","/teams/DET/2016.html"
"2016","Eastern Conf First Round","2015-2016",7,"Eastern","First","Toronto Raptors","Indiana Pacers",2,7,4,3,TRUE,"/teams/TOR/2016.html","/teams/IND/2016.html"
"2016","Eastern Conf First Round","2015-2016",7,"Eastern","First","Miami Heat","Charlotte Hornets",3,6,4,3,TRUE,"/teams/MIA/2016.html","/teams/CHO/2016.html"
"2016","Eastern Conf First Round","2015-2016",7,"Eastern","First","Atlanta Hawks","Boston Celtics",4,5,4,2,TRUE,"/teams/ATL/2016.html","/teams/BOS/2016.html"
"2016","Western Conf First Round","2015-2016",7,"Western","First","Golden State Warriors","Houston Rockets",1,8,4,1,TRUE,"/teams/GSW/2016.html","/teams/HOU/2016.html"
"2016","Western Conf First Round","2015-2016",7,"Western","First","San Antonio Spurs","Memphis Grizzlies",2,7,4,0,TRUE,"/teams/SAS/2016.html","/teams/MEM/2016.html"
"2016","Western Conf First Round","2015-2016",7,"Western","First","Oklahoma City Thunder","Dallas Mavericks",3,6,4,1,TRUE,"/teams/OKC/2016.html","/teams/DAL/2016.html"
"2016","Western Conf First Round","2015-2016",7,"Western","First","Los Angeles Clippers","Portland Trail Blazers",4,5,2,4,FALSE,"/teams/LAC/2016.html","/teams/POR/2016.html"
"2016","Eastern Conf Semifinals","2015-2016",7,"Eastern","Semifinals","Cleveland Cavaliers","Atlanta Hawks",1,4,4,0,TRUE,"/teams/CLE/2016.html","/teams/ATL/2016.html"
