"Won_Series","BLK.Opp_Per_Poss","ORtg.Misc","eFG..Misc","BLK.Per_Poss_._Opponent","AST.Opp_Per_Poss_._Opponent","BLK.Opp_Per_Poss_._Opponent","DRtg.Misc_._Opponent","Opp.eFG..Misc_._Opponent","Playoff.Minutes","Balance","Seed_Diff","Pyt_Win_Pct_Diff","id"
1,5.3,111.2,0.525,5,24.7,4.8,107,0.507,5461,5,7,0.073170731707317,"/teams/BOS/2017.htmlFirst"
1,4.4,113.6,0.547,5.2,23.1,5.1,108.8,0.512,31245,6,5,0.109756097560976,"/teams/CLE/2017.htmlFirst"
1,5,112.3,0.517,5.6,25.3,4.8,109.3,0.518,10148,6,3,0.146341463414634,"/teams/TOR/2017.htmlFirst"
1,4.7,111.2,0.528,4.9,23.8,5.3,105.7,0.507,4663,7,1,0.0853658536585367,"/teams/WAS/2017.htmlFirst"
1,3.8,115.6,0.563,5.1,21,5.4,110.8,0.508,23344,8,7,0.329268292682927,"/teams/GSW/2017.htmlFirst"
1,4.3,111.1,0.524,4.5,21.5,5.4,107.1,0.506,26116,9,5,0.219512195121951,"/teams/SAS/2017.htmlFirst"
1,5,114.7,0.545,5.1,21.8,5.6,107.5,0.511,10006,8,3,0.146341463414634,"/teams/HOU/2017.htmlFirst"
0,3.3,112.7,0.537,5.4,19.4,4.1,105.3,0.493,19829,5,1,0,"/teams/LAC/2017.htmlFirst"
1,4.4,113.6,0.547,5.1,22.9,5,107.8,0.507,31245,6,1,-0.0365853658536586,"/teams/CLE/2017.htmlSemifinals"
1,5.3,111.2,0.525,4.2,23.2,4.7,109.3,0.524,5461,5,3,0.0243902439024389,"/teams/BOS/2017.htmlSemifinals"
1,3.8,115.6,0.563,5.4,19.4,4.1,105.3,0.493,23344,8,4,0.182926829268293,"/teams/GSW/2017.htmlSemifinals"
1,4.3,111.1,0.524,4.3,24,5,109,0.519,26116,9,1,0.0609756097560975,"/teams/SAS/2017.htmlSemifinals"
1,3.8,115.6,0.563,6.2,22.6,4.3,103.5,0.492,23344,8,1,0.0853658536585366,"/teams/GSW/2017.htmlFinals"
0,5.3,111.2,0.525,4.1,25.4,4.4,110.3,0.516,5461,5,1,-0.0121951219512195,"/teams/BOS/2017.htmlFinals"
1,4.7,110.9,0.524,3.9,22.4,4.6,105.5,0.504,22193,7,7,0.170731707317073,"/teams/CLE/2016.htmlFirst"
1,5.8,110,0.504,4.9,21.3,4.6,102.9,0.489,4146,6,5,0.0853658536585366,"/teams/TOR/2016.htmlFirst"
1,4.4,106.1,0.508,5.5,24,5.7,104.3,0.496,25050,8,3,-0.0365853658536585,"/teams/MIA/2016.htmlFirst"
1,5.1,105.1,0.516,4.3,21.1,5.5,103.6,0.487,13988,8,1,0.0121951219512195,"/teams/ATL/2016.htmlFirst"
1,4.1,114.5,0.563,5.3,25,5,108.1,0.516,14360,8,7,0.280487804878049,"/teams/GSW/2016.htmlFirst"
1,4.1,110.3,0.526,4.5,23.3,6.1,107.8,0.518,36890,11,5,0.390243902439024,"/teams/SAS/2016.htmlFirst"
1,4.7,113.1,0.524,3.9,22.9,4.6,107,0.504,11653,6,3,0.231707317073171,"/teams/OKC/2016.htmlFirst"
0,3.3,108.3,0.524,4.8,22.3,5.4,108,0.503,20757,5,1,0.121951219512195,"/teams/LAC/2016.htmlFirst"
1,4.7,110.9,0.524,6.1,22.5,5.1,101.4,0.48,22193,7,3,0.073170731707317,"/teams/CLE/2016.htmlSemifinals"
1,5.8,110,0.504,6.9,21.4,4.4,104.4,0.485,4146,6,1,0.0853658536585366,"/teams/TOR/2016.htmlSemifinals"
1,4.1,114.5,0.563,4.8,22.3,5.4,108,0.503,14360,8,4,0.268292682926829,"/teams/GSW/2016.htmlSemifinals"
